number;correct_option;text_cs;opt1_cs;opt2_cs;opt3_cs;text_sk;opt1_sk;opt2_sk;opt3_sk;text_pl;opt1_pl;opt2_pl;opt3_pl;text_hu;opt1_hu;opt2_hu;opt3_hu;text_ro;opt1_ro;opt2_ro;opt3_ro;text_bg;opt1_bg;opt2_bg;opt3_bg;text_en;opt1_en;opt2_en;opt3_en
1;1;E2E testovací otázka č. 1?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 1?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 1?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #1?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 1?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №1?;Опция A;Опция Б;Опция В;E2E test question #1?;Option A;Option B;Option C
2;2;E2E testovací otázka č. 2?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 2?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 2?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #2?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 2?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №2?;Опция A;Опция Б;Опция В;E2E test question #2?;Option A;Option B;Option C
3;3;E2E testovací otázka č. 3?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 3?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 3?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #3?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 3?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №3?;Опция A;Опция Б;Опция В;E2E test question #3?;Option A;Option B;Option C
4;1;E2E testovací otázka č. 4?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 4?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 4?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #4?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 4?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №4?;Опция A;Опция Б;Опция В;E2E test question #4?;Option A;Option B;Option C
5;2;E2E testovací otázka č. 5?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 5?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 5?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #5?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 5?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №5?;Опция A;Опция Б;Опция В;E2E test question #5?;Option A;Option B;Option C
6;3;E2E testovací otázka č. 6?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 6?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 6?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #6?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 6?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №6?;Опция A;Опция Б;Опция В;E2E test question #6?;Option A;Option B;Option C
7;1;E2E testovací otázka č. 7?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 7?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 7?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #7?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 7?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №7?;Опция A;Опция Б;Опция В;E2E test question #7?;Option A;Option B;Option C
8;2;E2E testovací otázka č. 8?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 8?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 8?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #8?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 8?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №8?;Опция A;Опция Б;Опция В;E2E test question #8?;Option A;Option B;Option C
9;3;E2E testovací otázka č. 9?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 9?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 9?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #9?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 9?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №9?;Опция A;Опция Б;Опция В;E2E test question #9?;Option A;Option B;Option C
10;1;E2E testovací otázka č. 10?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 10?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 10?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #10?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 10?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №10?;Опция A;Опция Б;Опция В;E2E test question #10?;Option A;Option B;Option C
11;2;E2E testovací otázka č. 11?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 11?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 11?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #11?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 11?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №11?;Опция A;Опция Б;Опция В;E2E test question #11?;Option A;Option B;Option C
12;3;E2E testovací otázka č. 12?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 12?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 12?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #12?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 12?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №12?;Опция A;Опция Б;Опция В;E2E test question #12?;Option A;Option B;Option C
13;1;E2E testovací otázka č. 13?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 13?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 13?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #13?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 13?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №13?;Опция A;Опция Б;Опция В;E2E test question #13?;Option A;Option B;Option C
14;2;E2E testovací otázka č. 14?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 14?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 14?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #14?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 14?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №14?;Опция A;Опция Б;Опция В;E2E test question #14?;Option A;Option B;Option C
15;3;E2E testovací otázka č. 15?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 15?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 15?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #15?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 15?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №15?;Опция A;Опция Б;Опция В;E2E test question #15?;Option A;Option B;Option C
16;1;E2E testovací otázka č. 16?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 16?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 16?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #16?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 16?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №16?;Опция A;Опция Б;Опция В;E2E test question #16?;Option A;Option B;Option C
17;2;E2E testovací otázka č. 17?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 17?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 17?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #17?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 17?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №17?;Опция A;Опция Б;Опция В;E2E test question #17?;Option A;Option B;Option C
18;3;E2E testovací otázka č. 18?;Možnost A;Možnost B;Možnost C;E2E testovacia otázka č. 18?;Možnosť A;Možnosť B;Možnosť C;E2E pytanie testowe nr 18?;Opcja A;Opcja B;Opcja C;E2E teszt kérdés #18?;A lehetőség;B lehetőség;C lehetőség;E2E întrebare test nr. 18?;Opțiunea A;Opțiunea B;Opțiunea C;E2E тестов въпрос №18?;Опция A;Опция Б;Опция В;E2E test question #18?;Option A;Option B;Option C
