number;correct_option;text_cs;opt1_cs;opt2_cs;opt3_cs;text_hu;opt1_hu;opt2_hu;opt3_hu;text_pl;opt1_pl;opt2_pl;opt3_pl
1;2;Kolik vody vyteče za jeden den z kapajícího kohoutku?;1 litr;15 litrů;100 litrů;Mennyi víz folyik el egy nap alatt egy csöpögő csapból?;1 liter;15 liter;100 liter;Ile wody wycieka w ciągu doby z kapiącego kranu?;1 litr;15 litrów;100 litrów
2;3;Za jak dlouho se v přírodě rozloží plastová láhev?;5 let;50 let;450 let;Mennyi idő alatt bomlik le a természetben egy műanyag palack?;5 év;50 év;450 év;Ile czasu rozkłada się w przyrodzie plastikowa butelka?;5 lat;50 lat;450 lat
3;1;Kolik energie ušetří LED žárovka oproti klasické?;přibližně 85 %;přibližně 50 %;přibližně 20 %;Mennyi energiát takarít meg a LED-izzó a hagyományoshoz képest?;körülbelül 85%;körülbelül 50%;körülbelül 20%;Ile energii oszczędza żarówka LED w porównaniu z tradycyjną?;około 85%;około 50%;około 20%
4;;;;;;;;;;;;;
5;;;;;;;;;;;;;
6;;;;;;;;;;;;;
7;;;;;;;;;;;;;
8;;;;;;;;;;;;;
9;;;;;;;;;;;;;
10;;;;;;;;;;;;;
11;;;;;;;;;;;;;
12;;;;;;;;;;;;;
13;;;;;;;;;;;;;
14;;;;;;;;;;;;;
15;;;;;;;;;;;;;
16;;;;;;;;;;;;;
17;;;;;;;;;;;;;
18;;;;;;;;;;;;;
19;;;;;;;;;;;;;
20;;;;;;;;;;;;;
21;;;;;;;;;;;;;
22;;;;;;;;;;;;;
23;;;;;;;;;;;;;
24;;;;;;;;;;;;;
25;;;;;;;;;;;;;
26;;;;;;;;;;;;;
27;;;;;;;;;;;;;
28;;;;;;;;;;;;;
29;;;;;;;;;;;;;
30;;;;;;;;;;;;;
